Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.36,-.12,-.01,-.81,-.47,-.27,-.15,-.09,-.04,.05,.67
1881,-.08,-.18,.00,-.35,.11,-.07,-.93,-.46,-.20,.10,.11,-.05,-.07,.60
1882,-.11,-.21,-.01,-.32,-.04,.01,-1.42,-.29,-.14,-.05,-.04,.01,.04,.63
1883,-.17,-.28,-.06,-.35,-.16,-.01,-.19,-.57,-.25,-.18,-.15,-.04,.07,.50
1884,-.28,-.43,-.15,-.61,-.14,-.14,-1.31,-.65,-.48,-.13,-.16,-.19,-.02,.65
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.51,-.69,-.47,-.07,-.19,-.33,-.15,.82
1886,-.31,-.44,-.20,-.57,-.20,-.21,-1.59,-.51,-.41,-.22,-.17,-.20,-.20,.59
1887,-.36,-.44,-.29,-.54,-.30,-.28,-1.77,-.52,-.30,-.29,-.30,-.28,-.26,.32
1888,-.17,-.24,-.12,-.42,.10,-.29,-1.31,-.43,-.25,.07,.13,-.31,-.23,.16
1889,-.11,-.18,-.04,-.30,.08,-.16,-.68,-.23,-.28,.01,.14,-.15,-.15,.45
1890,-.35,-.39,-.32,-.46,-.37,-.23,-1.15,-.57,-.27,-.27,-.47,-.18,-.27,.15
1891,-.23,-.27,-.19,-.43,-.08,-.22,-1.13,-.35,-.37,.00,-.16,-.18,-.24,-.15
1892,-.28,-.40,-.15,-.44,-.30,-.08,-1.14,-.67,-.18,-.34,-.26,.02,-.22,.09
1893,-.31,-.48,-.15,-.50,-.36,-.05,-.61,-.55,-.47,-.43,-.30,.06,-.20,-.04
1894,-.30,-.39,-.21,-.32,-.33,-.24,-.91,-.33,-.19,-.49,-.18,-.15,-.35,-.37
1895,-.23,-.31,-.15,-.41,-.07,-.26,-.67,-.53,-.28,-.15,.01,-.20,-.32,-.58
1896,-.12,-.20,-.03,-.35,.09,-.16,-.85,-.38,-.23,.04,.14,-.16,-.13,.26
1897,-.11,-.17,-.06,-.36,.16,-.24,-.53,-.47,-.25,.13,.20,-.20,-.27,.41
1898,-.28,-.29,-.27,-.36,-.23,-.27,-1.15,-.25,-.25,-.19,-.27,-.28,-.21,.38
1899,-.18,-.22,-.14,-.25,-.12,-.19,-1.02,-.11,-.16,-.16,-.08,-.16,-.22,.58
1900,-.09,-.10,-.07,-.21,.16,-.30,-.54,-.17,-.17,.08,.25,-.29,-.29,.27
1901,-.16,-.13,-.18,-.16,-.04,-.31,-.36,-.11,-.16,-.07,-.01,-.28,-.34,.26
1902,-.28,-.34,-.22,-.54,-.04,-.35,-1.52,-.51,-.33,-.02,-.05,-.29,-.43,-.04
1903,-.37,-.38,-.37,-.47,-.29,-.39,-.22,-.43,-.57,-.24,-.34,-.36,-.40,-.50
1904,-.48,-.49,-.46,-.52,-.47,-.44,-.22,-.60,-.56,-.44,-.50,-.38,-.49,-1.32
1905,-.27,-.29,-.23,-.41,-.09,-.36,-.03,-.24,-.63,-.11,-.06,-.33,-.37,-.34
1906,-.23,-.24,-.22,-.26,-.20,-.24,-.26,-.07,-.39,-.22,-.19,-.21,-.22,-.72
1907,-.39,-.48,-.31,-.59,-.31,-.30,-.55,-.73,-.53,-.31,-.32,-.22,-.37,-1.21
1908,-.43,-.46,-.41,-.48,-.44,-.36,-.21,-.55,-.52,-.42,-.47,-.30,-.48,.67
1909,-.49,-.50,-.48,-.54,-.48,-.44,-.72,-.63,-.45,-.44,-.53,-.37,-.52,-.57
1910,-.44,-.45,-.44,-.42,-.49,-.38,-.59,-.25,-.50,-.48,-.51,-.33,-.45,.15
1911,-.45,-.43,-.47,-.42,-.44,-.48,-.26,-.42,-.48,-.43,-.45,-.44,-.53,.04
1912,-.37,-.47,-.26,-.60,-.21,-.37,-.50,-.80,-.51,-.28,-.12,-.37,-.29,-1.64
1913,-.35,-.43,-.27,-.45,-.29,-.35,-.47,-.34,-.52,-.40,-.17,-.29,-.40,-1.04
1914,-.16,-.19,-.12,-.25,-.08,-.18,-.33,-.16,-.29,-.11,-.04,-.16,-.18,-.37
1915,-.14,-.14,-.14,-.23,-.02,-.22,-.57,-.17,-.19,-.01,-.02,-.15,-.23,-1.99
1916,-.36,-.42,-.31,-.38,-.45,-.23,-.48,-.55,-.25,-.49,-.41,-.23,-.17,-1.05
